timestr I2C_SuccessRate
9495792973 0.82
9503010448 0.83
9510235687 0.92
9517450146 0.83
9524648662 0.81
9531866208 0.89
9539043854 0.9
9546263207 0.86
9553442664 0.75
9560671064 0.87
9567879535 0.83
9575098968 0.81
9582308513 0.83
9589509071 0.82
9596722932 0.8
9603929512 0.82
9611141296 0.81
9618356389 0.85
9625543446 0.88
9632758056 0.79
9639973237 0.89
9647180998 0.79
9654398307 0.8
9661606975 0.74
9668793995 0.79
9676013727 0.76
9683230360 0.84
9690426960 0.87
9697635448 0.8
9704848268 0.86
9712061512 0.86
9719283372 0.77
9726501928 0.82
9733708208 0.78
9740909381 0.8
9748114078 0.84
9755328382 0.73
9762556862 0.82
9769776664 0.77
9776983964 0.82
9784193837 0.78
9791381092 0.83
9798592817 0.85
9805819912 0.81
9813023063 0.83
9820225140 0.83
9827434383 0.83
9834629698 0.8
9841839297 0.78
9849052051 0.84
9856227683 0.82
9863444210 0.83
9870656513 0.84
9877859053 0.84
9885075904 0.81
9892282664 0.79
9899477230 0.83
9906684753 0.79
9913907209 0.9
9921125751 0.84
9928338360 0.89
9935534841 0.78
9942751829 0.87
9949964078 0.8
9957169827 0.85
9964389078 0.83
9971601427 0.78
9978814595 0.81
9986034970 0.89
9993252911 0.8
10000459170 0.9
10007679600 0.7
10014901868 0.8
10022103756 0.82
10029314145 0.88
10036517841 0.89
10043734301 0.74
10050945379 0.79
10058134666 0.85
10065357056 0.87
10072556514 0.84
10079766871 0.83
10086990538 0.88
10094202997 0.84
10101397140 0.88
10108616600 0.91
10115833063 0.84
10123039817 0.86
10130254257 0.82
10137465964 0.74
10144666922 0.8
10151877520 0.86
10159085072 0.85
10166301362 0.81
10173509294 0.9
10180709626 0.74
10187926231 0.83
10195142600 0.8
10202352230 0.84
10209567383 0.86
10216772360 0.81
10223983062 0.91
10231182708 0.89
10238397360 0.86
10245574246 0.79
10252788535 0.84
10259995836 0.8
10267202968 0.81
10274418600 0.89
10281630296 0.84
