timestr I2C_SuccessRate
6660445731 0.25
6666779858 0.35
6673049871 0.28
6679291870 0.28
6685472507 0.31
6691836025 0.31
6698068328 0.27
6704298565 0.32
6710599631 0.32
6717036350 0.35
6723234799 0.22
6729366668 0.23
6735628720 0.26
6742060838 0.36
6748346111 0.33
6754673110 0.36
6761026328 0.32
6767302777 0.29
6773729415 0.41
6780040579 0.29
6786361244 0.3
6792609839 0.3
6798806204 0.24
6804993087 0.27
6811169720 0.25
6817476504 0.31
6823677937 0.25
6829991719 0.3
6836422128 0.43
6842743667 0.31
6849218503 0.4
6855721479 0.45
6861977578 0.27
6868268110 0.26
6874643423 0.38
6880892504 0.26
6887165977 0.29
6893381116 0.26
6899729024 0.32
6906035017 0.29
6912342023 0.3
6918632806 0.35
6925079725 0.4
6931296263 0.29
6937735084 0.36
6944063688 0.3
6950283111 0.27
6956740504 0.41
6963044936 0.3
6969358727 0.3
6975646422 0.32
6981801967 0.22
6988120024 0.35
6994344570 0.29
7000649420 0.28
7006765959 0.21
7013006298 0.26
7019310769 0.36
7025508262 0.25
7031877261 0.32
7038254807 0.37
7044648564 0.34
7051007631 0.33
7057407569 0.37
7063773433 0.35
7069914023 0.25
7076162112 0.25
7082367351 0.26
7088628331 0.33
7095005101 0.28
7101168178 0.21
7107509330 0.31
7113830417 0.28
7120087587 0.33
7126402577 0.28
7132708724 0.31
7139001823 0.32
7145296959 0.29
7151703514 0.35
7158026507 0.28
7164188110 0.2
7170498339 0.34
7176849024 0.32
7183082442 0.29
7189203939 0.24
7195526782 0.34
7201926350 0.35
7208265264 0.32
7214498424 0.28
7220733903 0.3
7226982353 0.33
7233328025 0.34
7239621087 0.35
7246026791 0.35
7252423578 0.34
7258718419 0.33
7264992180 0.27
7271257735 0.31
7277582806 0.35
7283897937 0.34
7290125175 0.27
7296431351 0.35
7302703240 0.29
7309076504 0.28
7315217263 0.22
7321540504 0.33
7327836786 0.34
7334156959 0.29
7340524873 0.39
7346829111 0.26
7353137960 0.28
7359465351 0.32
7365846420 0.33
7372077960 0.29
7378337937 0.34
7384616023 0.29
7390913174 0.31
7397231963 0.32
7403572883 0.36
7409811428 0.3
7416088244 0.32
7422339960 0.26
7428433959 0.21
7434655338 0.3
7440967354 0.31
7447333329 0.32
7453656656 0.31
7459873913 0.24
7466112418 0.22
7472443418 0.28
7478784960 0.35
7485182329 0.38
7491657786 0.41
7497933112 0.26
7504277430 0.4
7510617483 0.39
7517073934 0.44
7523318103 0.34
7529628357 0.29
7535961787 0.35
7542251026 0.29
7548573254 0.29
7554892926 0.31
7561124503 0.25
7567405718 0.29
7573606273 0.27
7579886731 0.26
7586152569 0.31
7592414039 0.26
7598687088 0.31
7605090505 0.32
7611391558 0.29
7617734417 0.28
7623883807 0.25
7630157211 0.31
7636513808 0.36
7642782870 0.26
7649150807 0.28
7655541959 0.4
7661856085 0.3
7668020360 0.24
7674299415 0.24
7680563227 0.29
7686786585 0.25
7693155325 0.35
7699338613 0.22
7705728719 0.3
7712008077 0.34
7718415083 0.31
7724851938 0.4
7731178279 0.36
7737591116 0.37
7743855656 0.31
7750202721 0.36
7756395825 0.21
7762740718 0.3
7769051116 0.34
7775325416 0.26
7781730240 0.35
7788028263 0.32
7794343416 0.32
7800631503 0.29
7806804626 0.22
7813058718 0.27
7819323184 0.32
7825699957 0.35
7831941873 0.28
7838169427 0.33
7844482239 0.32
7850772163 0.27
7857066730 0.27
7863492411 0.33
7869783656 0.35
7876028023 0.3
7882345351 0.31
7888653504 0.34
7895072640 0.38
7901368649 0.31
7907791871 0.38
7914080264 0.32
7920264767 0.26
7926440797 0.3
7932678022 0.27
7939059654 0.35
7945366425 0.3
7951563902 0.26
7957958808 0.36
7964274040 0.3
7970564261 0.35
7976922068 0.31
7983181450 0.29
7989462351 0.28
7995765417 0.28
8002126632 0.31
8008431503 0.36
8014728783 0.27
8021040264 0.32
8027278886 0.28
8033692420 0.4
8040083719 0.34
8046320140 0.29
8052557807 0.28
8058853265 0.3
8065386182 0.43
8071712112 0.3
8078023656 0.34
8084217176 0.25
8090556179 0.26
8096818872 0.32
8103125036 0.3
8109530483 0.34
8115821838 0.29
8122093812 0.32
8128296634 0.28
8134713329 0.37
8140949815 0.26
8147221654 0.3
8153595325 0.33
8159924660 0.32
8166201720 0.28
8172637907 0.34
8179010633 0.35
8185309340 0.28
8191599769 0.29
8198024631 0.36
8204242960 0.22
8210647364 0.37
8217060812 0.36
8223352959 0.33
8229684824 0.33
8236080422 0.37
8242284112 0.25
8248660120 0.35
8254980671 0.26
8261244961 0.28
8267671776 0.41
8273994933 0.33
8280375806 0.35
8286751119 0.35
8292981266 0.3
8299386504 0.36
8305702666 0.32
8312012021 0.29
8318247175 0.3
8324556655 0.38
8330846573 0.31
8337298656 0.41
8343773808 0.43
8350144942 0.37
8356376087 0.29
8362768937 0.39
8369084105 0.3
8375406063 0.3
8381778022 0.35
8388115113 0.31
8394336333 0.24
8400548569 0.25
8406823656 0.31
8413095148 0.32
8419432808 0.31
8425785723 0.34
8432148881 0.38
8438490806 0.36
8444872961 0.32
8451354090 0.39
8457675351 0.28
8463960580 0.3
8470426196 0.45
8476780049 0.34
8483000111 0.29
8489329024 0.3
8495746724 0.41
8501914567 0.23
8508360504 0.36
8514602959 0.31
8520942959 0.32
8527276899 0.32
8533588422 0.35
8539893676 0.34
8546178656 0.29
8552526665 0.35
8558982479 0.37
8565332655 0.34
8571649113 0.27
8578214640 0.48
8584647959 0.37
8590812675 0.24
8597075783 0.27
8603343114 0.29
8609724937 0.4
8615942415 0.29
8622227367 0.24
8628406502 0.22
8634730792 0.26
8641015839 0.26
8647359654 0.4
8653724720 0.35
8660222287 0.46
8666503494 0.29
8672843266 0.32
8679252700 0.41
8685587481 0.36
8691907504 0.34
8698281115 0.37
8704510427 0.23
8710845354 0.32
8717175242 0.34
8723452465 0.28
8729754719 0.33
8736000872 0.32
8742247087 0.28
8748588960 0.29
8754926263 0.35
8761327960 0.38
8767610520 0.31
8773952241 0.34
8780232656 0.3
8786538914 0.32
8792980872 0.41
8799337656 0.36
8805729873 0.38
8812053655 0.34
8818399794 0.33
8824645989 0.3
8830923242 0.3
8837332850 0.34
8843591414 0.29
8849904810 0.32
8856161187 0.29
8862588960 0.36
8868941807 0.34
8875290807 0.33
8881566718 0.31
8887958351 0.33
8894245264 0.3
8900464503 0.23
8907038946 0.44
8913242730 0.31
8919521023 0.26
8925794721 0.37
8932010276 0.25
