time coil
1.79264e-05 -3.14961
1.79328e-05 -1.5748
1.79392e-05 -1.5748
1.79456e-05 -1.5748
1.7952e-05 0
1.79584e-05 -1.5748
1.79648e-05 -1.5748
1.79712e-05 0
1.79776e-05 -3.14961
1.7984e-05 0
1.79904e-05 0
1.79968e-05 -1.5748
1.80032e-05 0
1.80096e-05 -1.5748
1.8016e-05 -1.5748
1.80224e-05 0
1.80288e-05 -1.5748
1.80352e-05 0
1.80416e-05 -1.5748
1.8048e-05 -1.5748
1.80544e-05 0
1.80608e-05 0
1.80672e-05 -1.5748
1.80736e-05 0
1.808e-05 -1.5748
1.80864e-05 -1.5748
1.80928e-05 0
1.80992e-05 -1.5748
1.81056e-05 0
1.8112e-05 0
1.81184e-05 -1.5748
1.81248e-05 -1.5748
1.81312e-05 -1.5748
1.81376e-05 -3.14961
1.8144e-05 -1.5748
1.81504e-05 0
1.81568e-05 0
1.81632e-05 -1.5748
1.81696e-05 0
1.8176e-05 -1.5748
1.81824e-05 -1.5748
1.81888e-05 -1.5748
1.81952e-05 0
1.82016e-05 -1.5748
1.8208e-05 -1.5748
1.82144e-05 0
1.82208e-05 -1.5748
1.82272e-05 -1.5748
1.82336e-05 0
1.824e-05 0
1.82464e-05 -1.5748
1.82528e-05 0
1.82592e-05 -1.5748
1.82656e-05 -3.14961
1.8272e-05 3.14961
1.82784e-05 -1.5748
1.82848e-05 -3.14961
1.82912e-05 1.5748
1.82976e-05 -1.5748
1.8304e-05 -3.14961
1.83104e-05 1.5748
1.83168e-05 -1.5748
1.83232e-05 -1.5748
1.83296e-05 0
1.8336e-05 0
1.83424e-05 -1.5748
1.83488e-05 0
1.83552e-05 1.5748
1.83616e-05 -3.14961
1.8368e-05 -1.5748
1.83744e-05 1.5748
1.83808e-05 -3.14961
1.83872e-05 0
1.83936e-05 1.5748
1.84e-05 -3.14961
1.84064e-05 -1.5748
1.84128e-05 1.5748
1.84192e-05 -1.5748
1.84256e-05 -1.5748
1.8432e-05 0
1.84384e-05 -3.14961
1.84448e-05 -1.5748
1.84512e-05 -1.5748
1.84576e-05 -1.5748
1.8464e-05 -3.14961
1.84704e-05 0
1.84768e-05 0
1.84832e-05 -3.14961
1.84896e-05 0
1.8496e-05 0
1.85024e-05 -3.14961
1.85088e-05 -1.5748
1.85152e-05 0
1.85216e-05 -3.14961
1.8528e-05 -1.5748
1.85344e-05 0
1.85408e-05 -1.5748
1.85472e-05 -1.5748
1.85536e-05 0
1.856e-05 -1.5748
1.85664e-05 -3.14961
1.85728e-05 0
1.85792e-05 -1.5748
1.85856e-05 -3.14961
1.8592e-05 0
1.85984e-05 -1.5748
1.86048e-05 -3.14961
1.86112e-05 0
1.86176e-05 -1.5748
1.8624e-05 -1.5748
1.86304e-05 0
1.86368e-05 -1.5748
1.86432e-05 -3.14961
1.86496e-05 -3.14961
1.8656e-05 -1.5748
1.86624e-05 -3.14961
1.86688e-05 -3.14961
1.86752e-05 -1.5748
1.86816e-05 -3.14961
1.8688e-05 -3.14961
1.86944e-05 0
1.87008e-05 -1.5748
1.87072e-05 -1.5748
1.87136e-05 0
1.872e-05 -3.14961
1.87264e-05 -1.5748
1.87328e-05 0
1.87392e-05 -3.14961
1.87456e-05 0
1.8752e-05 0
1.87584e-05 -1.5748
1.87648e-05 0
1.87712e-05 -1.5748
1.87776e-05 -1.5748
1.8784e-05 0
1.87904e-05 -1.5748
1.87968e-05 -1.5748
1.88032e-05 -1.5748
1.88096e-05 0
1.8816e-05 -1.5748
1.88224e-05 0
1.88288e-05 0
1.88352e-05 -1.5748
1.88416e-05 -1.5748
1.8848e-05 -1.5748
1.88544e-05 -1.5748
1.88608e-05 0
1.88672e-05 -1.5748
1.88736e-05 0
1.888e-05 -3.14961
1.88864e-05 0
1.88928e-05 -1.5748
1.88992e-05 -3.14961
1.89056e-05 0
1.8912e-05 0
1.89184e-05 -3.14961
1.89248e-05 1.5748
1.89312e-05 -1.5748
1.89376e-05 -3.14961
1.8944e-05 0
1.89504e-05 -1.5748
1.89568e-05 -1.5748
1.89632e-05 0
1.89696e-05 0
1.8976e-05 -1.5748
1.89824e-05 -1.5748
1.89888e-05 0
1.89952e-05 -1.5748
1.90016e-05 -1.5748
1.9008e-05 0
1.90144e-05 -3.14961
1.90208e-05 -1.5748
1.90272e-05 0
1.90336e-05 -1.5748
1.904e-05 -1.5748
1.90464e-05 -1.5748
1.90528e-05 -1.5748
1.90592e-05 -1.5748
1.90656e-05 0
1.9072e-05 -1.5748
1.90784e-05 -1.5748
1.90848e-05 0
1.90912e-05 0
1.90976e-05 -1.5748
1.9104e-05 -1.5748
1.91104e-05 0
1.91168e-05 -3.14961
1.91232e-05 0
1.91296e-05 0
1.9136e-05 -1.5748
1.91424e-05 -1.5748
1.91488e-05 0
1.91552e-05 -1.5748
1.91616e-05 -1.5748
1.9168e-05 -1.5748
1.91744e-05 -1.5748
1.91808e-05 -1.5748
1.91872e-05 0
1.91936e-05 0
1.92e-05 -1.5748
1.92064e-05 0
1.92128e-05 0
1.92192e-05 -3.14961
1.92256e-05 0
1.9232e-05 -1.5748
1.92384e-05 -1.5748
1.92448e-05 -1.5748
1.92512e-05 -1.5748
1.92576e-05 0
1.9264e-05 -1.5748
1.92704e-05 -3.14961
1.92768e-05 -1.5748
1.92832e-05 -3.14961
1.92896e-05 -1.5748
1.9296e-05 0
1.93024e-05 -1.5748
1.93088e-05 -1.5748
1.93152e-05 -1.5748
1.93216e-05 -1.5748
1.9328e-05 -1.5748
1.93344e-05 -1.5748
1.93408e-05 -3.14961
1.93472e-05 -1.5748
1.93536e-05 -1.5748
1.936e-05 -1.5748
1.93664e-05 0
1.93728e-05 0
1.93792e-05 -3.14961
1.93856e-05 -1.5748
1.9392e-05 -1.5748
1.93984e-05 -1.5748
1.94048e-05 1.5748
1.94112e-05 0
1.94176e-05 0
1.9424e-05 0
1.94304e-05 -1.5748
1.94368e-05 0
1.94432e-05 0
1.94496e-05 0
1.9456e-05 1.5748
1.94624e-05 0
1.94688e-05 0
1.94752e-05 0
1.94816e-05 -1.5748
1.9488e-05 0
1.94944e-05 1.5748
1.95008e-05 -1.5748
1.95072e-05 0
1.95136e-05 0
1.952e-05 -1.5748
1.95264e-05 1.5748
1.95328e-05 0
1.95392e-05 -3.14961
1.95456e-05 1.5748
1.9552e-05 -1.5748
1.95584e-05 -3.14961
1.95648e-05 0
1.95712e-05 -1.5748
1.95776e-05 -3.14961
1.9584e-05 0
1.95904e-05 -1.5748
1.95968e-05 -3.14961
1.96032e-05 -1.5748
1.96096e-05 0
1.9616e-05 -3.14961
1.96224e-05 -3.14961
1.96288e-05 0
1.96352e-05 -3.14961
1.96416e-05 -1.5748
1.9648e-05 0
1.96544e-05 -1.5748
1.96608e-05 -1.5748
1.96672e-05 1.5748
1.96736e-05 -1.5748
1.968e-05 0
1.96864e-05 0
1.96928e-05 -1.5748
1.96992e-05 -1.5748
1.97056e-05 -1.5748
1.9712e-05 0
1.97184e-05 -3.14961
1.97248e-05 -1.5748
1.97312e-05 3.14961
1.97376e-05 -3.14961
1.9744e-05 0
1.97504e-05 0
1.97568e-05 -3.14961
1.97632e-05 -1.5748
1.97696e-05 -1.5748
1.9776e-05 -3.14961
1.97824e-05 -1.5748
1.97888e-05 -1.5748
1.97952e-05 -1.5748
1.98016e-05 -4.72441
1.9808e-05 -1.5748
1.98144e-05 -3.14961
1.98208e-05 -3.14961
1.98272e-05 0
1.98336e-05 -1.5748
1.984e-05 -3.14961
1.98464e-05 -1.5748
1.98528e-05 -3.14961
1.98592e-05 -4.72441
1.98656e-05 -1.5748
1.9872e-05 -1.5748
1.98784e-05 -1.5748
1.98848e-05 0
1.98912e-05 0
1.98976e-05 -1.5748
1.9904e-05 0
1.99104e-05 0
1.99168e-05 -3.14961
1.99232e-05 -1.5748
1.99296e-05 0
1.9936e-05 0
1.99424e-05 -1.5748
1.99488e-05 1.5748
1.99552e-05 -3.14961
1.99616e-05 -1.5748
1.9968e-05 1.5748
1.99744e-05 -4.72441
1.99808e-05 0
1.99872e-05 1.5748
1.99936e-05 -3.14961
2e-05 0
2.00064e-05 0
2.00128e-05 -3.14961
2.00192e-05 0
2.00256e-05 -1.5748
2.0032e-05 -3.14961
2.00384e-05 0
2.00448e-05 0
2.00512e-05 -1.5748
